in s,C3 in V
-1.0823360E-03,-6.83594E-03
-1.0823168E-03,-1.66016E-02
-1.0822976E-03,3.22266E-02
-1.0822784E-03,1.26953E-02
-1.0822592E-03,-6.83594E-03
-1.0822400E-03,-6.83594E-03
-1.0822208E-03,1.26953E-02
-1.0822016E-03,-1.66016E-02
-1.0821824E-03,2.24609E-02
-1.0821632E-03,-6.83594E-03
-1.0821440E-03,-6.83594E-03
-1.0821248E-03,1.26953E-02
-1.0821056E-03,2.92969E-03
-1.0820864E-03,2.92969E-03
-1.0820672E-03,2.92969E-03
-1.0820480E-03,-6.83594E-03
-1.0820288E-03,2.92969E-03
-1.0820096E-03,-1.66016E-02
-1.0819904E-03,-6.83594E-03
-1.0819712E-03,2.92969E-03
-1.0819520E-03,-2.63672E-02
-1.0819328E-03,2.24609E-02
-1.0819136E-03,2.92969E-03
-1.0818944E-03,-6.83594E-03
-1.0818752E-03,-2.63672E-02
-1.0818560E-03,-6.83594E-03
-1.0818368E-03,-1.66016E-02
-1.0818176E-03,-6.83594E-03
-1.0817984E-03,-1.66016E-02
-1.0817792E-03,3.22266E-02
-1.0817600E-03,2.92969E-03
-1.0817408E-03,-6.83594E-03
-1.0817216E-03,2.92969E-03
-1.0817024E-03,-6.83594E-03
-1.0816832E-03,-6.83594E-03
-1.0816640E-03,2.92969E-03
-1.0816448E-03,-6.83594E-03
-1.0816256E-03,5.17578E-02
-1.0816064E-03,1.26953E-02
-1.0815872E-03,2.92969E-03
-1.0815680E-03,1.26953E-02
-1.0815488E-03,2.92969E-03
-1.0815296E-03,-1.66016E-02
-1.0815104E-03,-2.63672E-02
-1.0814912E-03,-6.83594E-03
-1.0814720E-03,2.92969E-03
-1.0814528E-03,-2.63672E-02
-1.0814336E-03,1.26953E-02
-1.0814144E-03,-6.83594E-03
-1.0813952E-03,2.92969E-03
-1.0813760E-03,-2.63672E-02
-1.0813568E-03,2.92969E-03
-1.0813376E-03,-6.83594E-03
-1.0813184E-03,2.24609E-02
-1.0812992E-03,2.92969E-03
-1.0812800E-03,2.24609E-02
-1.0812608E-03,2.92969E-03
-1.0812416E-03,-6.83594E-03
-1.0812224E-03,2.92969E-03
-1.0812032E-03,2.92969E-03
-1.0811840E-03,2.92969E-03
-1.0811648E-03,1.26953E-02
-1.0811456E-03,2.92969E-03
-1.0811264E-03,-1.66016E-02
-1.0811072E-03,-1.66016E-02
-1.0810880E-03,2.92969E-03
-1.0810688E-03,3.22266E-02
-1.0810496E-03,-6.83594E-03
-1.0810304E-03,-1.66016E-02
-1.0810112E-03,-6.83594E-03
-1.0809920E-03,2.24609E-02
-1.0809728E-03,-6.83594E-03
-1.0809536E-03,-6.83594E-03
-1.0809344E-03,3.22266E-02
-1.0809152E-03,2.92969E-03
-1.0808960E-03,1.26953E-02
-1.0808768E-03,3.22266E-02
-1.0808576E-03,-6.83594E-03
-1.0808384E-03,2.92969E-03
-1.0808192E-03,-6.83594E-03
-1.0808000E-03,-6.83594E-03
-1.0807808E-03,-6.83594E-03
-1.0807616E-03,2.92969E-03
-1.0807424E-03,1.26953E-02
-1.0807232E-03,-2.63672E-02
-1.0807040E-03,3.22266E-02
-1.0806848E-03,2.92969E-03
-1.0806656E-03,-1.66016E-02
-1.0806464E-03,-1.66016E-02
-1.0806272E-03,-2.63672E-02
-1.0806080E-03,-6.83594E-03
-1.0805888E-03,-6.83594E-03
-1.0805696E-03,-4.58984E-02
-1.0805504E-03,-3.61328E-02
-1.0805312E-03,2.24609E-02
-1.0805120E-03,-1.66016E-02
-1.0804928E-03,1.26953E-02
-1.0804736E-03,-1.66016E-02
-1.0804544E-03,1.26953E-02
-1.0804352E-03,-6.83594E-03
-1.0804160E-03,-1.66016E-02
-1.0803968E-03,-1.66016E-02
-1.0803776E-03,2.92969E-03
-1.0803584E-03,-6.83594E-03
-1.0803392E-03,2.24609E-02
-1.0803200E-03,2.24609E-02
-1.0803008E-03,-6.83594E-03
-1.0802816E-03,-1.66016E-02
-1.0802624E-03,-2.63672E-02
-1.0802432E-03,-6.83594E-03
-1.0802240E-03,-1.66016E-02
-1.0802048E-03,-6.83594E-03
-1.0801856E-03,2.92969E-03
-1.0801664E-03,3.22266E-02
-1.0801472E-03,-6.83594E-03
