in s,C1 in V
-4.835936E-04,7.32422E-02
-4.835840E-04,7.32422E-02
-4.835744E-04,9.27734E-02
-4.835648E-04,1.02539E-01
-4.835552E-04,7.32422E-02
-4.835456E-04,5.37109E-02
-4.835360E-04,8.30078E-02
-4.835264E-04,1.02539E-01
-4.835168E-04,8.30078E-02
-4.835072E-04,1.12305E-01
-4.834976E-04,1.02539E-01
-4.834880E-04,8.30078E-02
-4.834784E-04,8.30078E-02
-4.834688E-04,7.32422E-02
-4.834592E-04,6.34766E-02
-4.834496E-04,1.02539E-01
-4.834400E-04,7.32422E-02
-4.834304E-04,6.34766E-02
-4.834208E-04,7.32422E-02
-4.834112E-04,9.27734E-02
-4.834016E-04,1.02539E-01
-4.833920E-04,1.02539E-01
-4.833824E-04,7.32422E-02
-4.833728E-04,9.27734E-02
-4.833632E-04,7.32422E-02
-4.833536E-04,5.37109E-02
-4.833440E-04,9.27734E-02
-4.833344E-04,8.30078E-02
-4.833248E-04,7.32422E-02
-4.833152E-04,7.32422E-02
-4.833056E-04,8.30078E-02
-4.832960E-04,6.34766E-02
-4.832864E-04,7.32422E-02
-4.832768E-04,4.39453E-02
-4.832672E-04,5.37109E-02
-4.832576E-04,6.34766E-02
-4.832480E-04,6.34766E-02
-4.832384E-04,7.32422E-02
-4.832288E-04,7.32422E-02
-4.832192E-04,7.32422E-02
-4.832096E-04,1.02539E-01
-4.832000E-04,1.02539E-01
-4.831904E-04,7.32422E-02
-4.831808E-04,9.27734E-02
-4.831712E-04,9.27734E-02
-4.831616E-04,5.37109E-02
-4.831520E-04,6.34766E-02
-4.831424E-04,5.37109E-02
-4.831328E-04,5.37109E-02
-4.831232E-04,7.32422E-02
-4.831136E-04,6.34766E-02
-4.831040E-04,5.37109E-02
-4.830944E-04,5.37109E-02
-4.830848E-04,6.34766E-02
-4.830752E-04,9.27734E-02
-4.830656E-04,6.34766E-02
-4.830560E-04,8.30078E-02
-4.830464E-04,8.30078E-02
-4.830368E-04,7.32422E-02
-4.830272E-04,5.37109E-02
-4.830176E-04,6.34766E-02
-4.830080E-04,5.37109E-02
-4.829984E-04,6.34766E-02
-4.829888E-04,4.39453E-02
-4.829792E-04,6.34766E-02
-4.829696E-04,5.37109E-02
-4.829600E-04,7.32422E-02
-4.829504E-04,4.39453E-02
-4.829408E-04,5.37109E-02
-4.829312E-04,6.34766E-02
-4.829216E-04,4.39453E-02
-4.829120E-04,7.32422E-02
-4.829024E-04,9.27734E-02
-4.828928E-04,6.34766E-02
-4.828832E-04,4.39453E-02
-4.828736E-04,9.27734E-02
-4.828640E-04,7.32422E-02
-4.828544E-04,3.41797E-02
-4.828448E-04,8.30078E-02
-4.828352E-04,3.41797E-02
-4.828256E-04,5.37109E-02
-4.828160E-04,7.32422E-02
-4.828064E-04,4.39453E-02
-4.827968E-04,5.37109E-02
-4.827872E-04,6.34766E-02
-4.827776E-04,6.34766E-02
-4.827680E-04,8.30078E-02
-4.827584E-04,3.41797E-02
-4.827488E-04,5.37109E-02
-4.827392E-04,6.34766E-02
-4.827296E-04,6.34766E-02
-4.827200E-04,4.39453E-02
-4.827104E-04,4.39453E-02
-4.827008E-04,1.46484E-02
-4.826912E-04,6.34766E-02
-4.826816E-04,6.34766E-02
-4.826720E-04,5.37109E-02
-4.826624E-04,4.39453E-02
-4.826528E-04,5.37109E-02
-4.826432E-04,1.46484E-02
-4.826336E-04,6.34766E-02
-4.826240E-04,4.88281E-03
-4.826144E-04,5.37109E-02
-4.826048E-04,7.32422E-02
-4.825952E-04,7.32422E-02
-4.825856E-04,4.39453E-02
-4.825760E-04,6.34766E-02
-4.825664E-04,7.32422E-02
-4.825568E-04,9.27734E-02
-4.825472E-04,5.37109E-02
-4.825376E-04,6.34766E-02
-4.825280E-04,5.37109E-02
